month,frequency_afternoon,upt,vrm,voms,vrh,migration,ms_single,ms_married,ms_divorced,ms_separated,ms_widowed,edu_lesshs,edu_hs,edu_incompletecoll,edu_college,edu_graduate,modet_drive,modet_carpool,modet_transit,modet_bicycle,modet_walked,modet_taxi,wfh,veh_zero,veh_one,veh_two,veh_three,veh_fourplus,snap_yes,sex_male,sex_female,age_1824,age_2534,age_3544,age_4564,age_64plus,poverty_yes,income_10,income_15,income_20,income_25,income_30,income_35,income_40,income_45,income_50,income_60,income_75,income_100,income_125,income_150,income_200,income_200plus,race_black,race_indian,race_asian,race_hawaiian,race_other,race_mixed,race_white,race_latino,OTP,served_pop,Cluster,fare,speed,frequency_peak
6,108.7586207,1.45729,138726,55,11344,0.1244718,0.402239599,0.43138684,0.089200354,0.023995279,0.053177929,0.233596542,0.300300146,0.291934217,0.11828249,0.055886605,0.775654004,0.129390355,0.012505687,0.002633076,0.009474522,0.008473612,0.061868744,0.064526601,0.284085551,0.350073045,0.181606672,0.119708131,0.433037754,0.495134084,0.504865916,0.142497554,0.193227048,0.182236654,0.306160976,0.175877768,0.150051199,0.050930329,0.034677006,0.031214183,0.037188773,0.039170142,0.040005365,0.04202941,0.033165069,0.032506645,0.072146219,0.098068622,0.149425708,0.10357378,0.078053747,0.08249811,0.075346892,0.086960763,0.008949692,0.133013876,0.005334455,0.104287073,0.128008633,0.220017314,0.313428195,0.9485,782460,4,8.801755313,25.96660244,97.20283227
10,109.4443337,2.19536,208195,71,15873,0.124274756,0.399876645,0.435281545,0.088700645,0.023951164,0.052190002,0.233714618,0.301913323,0.291693053,0.116440828,0.056238177,0.784271088,0.125734734,0.012830901,0.002618629,0.009204932,0.008757384,0.056582331,0.064137244,0.284489731,0.351857108,0.183729887,0.11578603,0.435586994,0.494577223,0.505422777,0.142529627,0.193893769,0.181831008,0.308100165,0.173645431,0.153527493,0.053645422,0.037425173,0.034154237,0.039086527,0.0413158,0.044302452,0.041791943,0.037537166,0.032545034,0.076708939,0.101606203,0.1443874,0.104019833,0.070682147,0.073987697,0.066804027,0.087486692,0.008010049,0.132554416,0.004814958,0.100321766,0.121498884,0.227446458,0.317866777,0.87,782460,4,5.842645398,26.53393372,86.21281103
11,109.4443337,2.03017,197661,71,15067,0.124274756,0.399876645,0.435281545,0.088700645,0.023951164,0.052190002,0.233714618,0.301913323,0.291693053,0.116440828,0.056238177,0.784271088,0.125734734,0.012830901,0.002618629,0.009204932,0.008757384,0.056582331,0.064137244,0.284489731,0.351857108,0.183729887,0.11578603,0.435586994,0.494577223,0.505422777,0.142529627,0.193893769,0.181831008,0.308100165,0.173645431,0.153527493,0.053645422,0.037425173,0.034154237,0.039086527,0.0413158,0.044302452,0.041791943,0.037537166,0.032545034,0.076708939,0.101606203,0.1443874,0.104019833,0.070682147,0.073987697,0.066804027,0.087486692,0.008010049,0.132554416,0.004814958,0.100321766,0.121498884,0.227446458,0.317866777,0.87,782460,4,6.318047257,26.53393372,86.21281103
12,109.4443337,1.97034,193130,71,14717,0.124274756,0.399876645,0.435281545,0.088700645,0.023951164,0.052190002,0.233714618,0.301913323,0.291693053,0.116440828,0.056238177,0.784271088,0.125734734,0.012830901,0.002618629,0.009204932,0.008757384,0.056582331,0.064137244,0.284489731,0.351857108,0.183729887,0.11578603,0.435586994,0.494577223,0.505422777,0.142529627,0.193893769,0.181831008,0.308100165,0.173645431,0.153527493,0.053645422,0.037425173,0.034154237,0.039086527,0.0413158,0.044302452,0.041791943,0.037537166,0.032545034,0.076708939,0.101606203,0.1443874,0.104019833,0.070682147,0.073987697,0.066804027,0.087486692,0.008010049,0.132554416,0.004814958,0.100321766,0.121498884,0.227446458,0.317866777,0.93,782460,4,6.509896769,26.53393372,86.21281103
7,109.4443337,1.56181,177098,71,13463,0.124274756,0.399876645,0.435281545,0.088700645,0.023951164,0.052190002,0.233714618,0.301913323,0.291693053,0.116440828,0.056238177,0.784271088,0.125734734,0.012830901,0.002618629,0.009204932,0.008757384,0.056582331,0.064137244,0.284489731,0.351857108,0.183729887,0.11578603,0.435586994,0.494577223,0.505422777,0.142529627,0.193893769,0.181831008,0.308100165,0.173645431,0.153527493,0.053645422,0.037425173,0.034154237,0.039086527,0.0413158,0.044302452,0.041791943,0.037537166,0.032545034,0.076708939,0.101606203,0.1443874,0.104019833,0.070682147,0.073987697,0.066804027,0.087486692,0.008010049,0.132554416,0.004814958,0.100321766,0.121498884,0.227446458,0.317866777,0.867,782460,4,8.212721138,26.53393372,86.21281103
8,109.4443337,2.2431,214913,71,16379,0.124274756,0.399876645,0.435281545,0.088700645,0.023951164,0.052190002,0.233714618,0.301913323,0.291693053,0.116440828,0.056238177,0.784271088,0.125734734,0.012830901,0.002618629,0.009204932,0.008757384,0.056582331,0.064137244,0.284489731,0.351857108,0.183729887,0.11578603,0.435586994,0.494577223,0.505422777,0.142529627,0.193893769,0.181831008,0.308100165,0.173645431,0.153527493,0.053645422,0.037425173,0.034154237,0.039086527,0.0413158,0.044302452,0.041791943,0.037537166,0.032545034,0.076708939,0.101606203,0.1443874,0.104019833,0.070682147,0.073987697,0.066804027,0.087486692,0.008010049,0.132554416,0.004814958,0.100321766,0.121498884,0.227446458,0.317866777,0.87,782460,4,5.718296108,26.53393372,86.21281103
9,109.4443337,2.09247,191119,71,14562,0.124274756,0.399876645,0.435281545,0.088700645,0.023951164,0.052190002,0.233714618,0.301913323,0.291693053,0.116440828,0.056238177,0.784271088,0.125734734,0.012830901,0.002618629,0.009204932,0.008757384,0.056582331,0.064137244,0.284489731,0.351857108,0.183729887,0.11578603,0.435586994,0.494577223,0.505422777,0.142529627,0.193893769,0.181831008,0.308100165,0.173645431,0.153527493,0.053645422,0.037425173,0.034154237,0.039086527,0.0413158,0.044302452,0.041791943,0.037537166,0.032545034,0.076708939,0.101606203,0.1443874,0.104019833,0.070682147,0.073987697,0.066804027,0.087486692,0.008010049,0.132554416,0.004814958,0.100321766,0.121498884,0.227446458,0.317866777,0.87,782460,4,6.129937347,26.53393372,86.21281103
5,101.6271186,2.04869,190056,60,14448,0.124274756,0.399876645,0.435281545,0.088700645,0.023951164,0.052190002,0.233714618,0.301913323,0.291693053,0.116440828,0.056238177,0.784271088,0.125734734,0.012830901,0.002618629,0.009204932,0.008757384,0.056582331,0.064137244,0.284489731,0.351857108,0.183729887,0.11578603,0.435586994,0.494577223,0.505422777,0.142529627,0.193893769,0.181831008,0.308100165,0.173645431,0.153527493,0.053645422,0.037425173,0.034154237,0.039086527,0.0413158,0.044302452,0.041791943,0.037537166,0.032545034,0.076708939,0.101606203,0.1443874,0.104019833,0.070682147,0.073987697,0.066804027,0.087486692,0.008010049,0.132554416,0.004814958,0.100321766,0.121498884,0.227446458,0.317866777,0.93,782460,4,6.260932596,26.24170158,85.69067852
6,101.6271186,1.72061,187889,60,14286,0.124274756,0.399876645,0.435281545,0.088700645,0.023951164,0.052190002,0.233714618,0.301913323,0.291693053,0.116440828,0.056238177,0.784271088,0.125734734,0.012830901,0.002618629,0.009204932,0.008757384,0.056582331,0.064137244,0.284489731,0.351857108,0.183729887,0.11578603,0.435586994,0.494577223,0.505422777,0.142529627,0.193893769,0.181831008,0.308100165,0.173645431,0.153527493,0.053645422,0.037425173,0.034154237,0.039086527,0.0413158,0.044302452,0.041791943,0.037537166,0.032545034,0.076708939,0.101606203,0.1443874,0.104019833,0.070682147,0.073987697,0.066804027,0.087486692,0.008010049,0.132554416,0.004814958,0.100321766,0.121498884,0.227446458,0.317866777,0.85,782460,4,7.454745701,26.24170158,85.69067852
1,114.4848485,1.83129,162555,67,12997,0.124274756,0.399876645,0.435281545,0.088700645,0.023951164,0.052190002,0.233714618,0.301913323,0.291693053,0.116440828,0.056238177,0.784271088,0.125734734,0.012830901,0.002618629,0.009204932,0.008757384,0.056582331,0.064137244,0.284489731,0.351857108,0.183729887,0.11578603,0.435586994,0.494577223,0.505422777,0.142529627,0.193893769,0.181831008,0.308100165,0.173645431,0.153527493,0.053645422,0.037425173,0.034154237,0.039086527,0.0413158,0.044302452,0.041791943,0.037537166,0.032545034,0.076708939,0.101606203,0.1443874,0.104019833,0.070682147,0.073987697,0.066804027,0.087486692,0.008010049,0.132554416,0.004814958,0.100321766,0.121498884,0.227446458,0.317866777,0.867,782460,4,7.004193765,26.48636206,90.48102553
